"team","bullpen_pa","bullpen_woba","bullpen_xwoba","bullpen_gap","bullpen_hard_hit","bullpen_k_pct","pitchers_counted","fetched_at"
"ARI","1782","0.2833","0.2918","-0.0085","37.3833","21.6924","7","2026-08-16 13:25 UTC"
"ATH","2621","0.3374","0.319","0.0184","39.6544","24.1872","9","2026-08-16 13:25 UTC"
"ATL","2863","0.2764","0.2904","-0.014","34.5366","25.7968","9","2026-08-16 13:25 UTC"
"BAL","2699","0.2986","0.2982","0.0004","39.3035","23.8948","9","2026-08-16 13:25 UTC"
"BOS","2688","0.2806","0.282","-0.0014","34.7371","26.759","9","2026-08-16 13:25 UTC"
"CHC","3660","0.2964","0.3047","-0.0083","38.1047","24.6645","11","2026-08-16 13:25 UTC"
"CIN","3030","0.3096","0.3136","-0.004","38.5927","22.4397","9","2026-08-16 13:25 UTC"
"CLE","2352","0.2849","0.294","-0.0091","38.4474","26.5465","7","2026-08-16 13:25 UTC"
"COL","2654","0.3392","0.3251","0.0141","40.0378","20.4565","7","2026-08-16 13:25 UTC"
"CWS","4115","0.3047","0.3039","0.0008","38.1764","22.7957","11","2026-08-16 13:25 UTC"
"DET","3837","0.2954","0.301","-0.0056","39.6482","22.3542","12","2026-08-16 13:25 UTC"
"HOU","2715","0.2838","0.2835","0.0003","37.0973","27.8056","7","2026-08-16 13:25 UTC"
"KCR","4060","0.321","0.3222","-0.0012","39.9625","21.6399","12","2026-08-16 13:25 UTC"
"LAA","1318","0.3118","0.3163","-0.0045","37.8954","22.8985","6","2026-08-16 13:25 UTC"
"LAD","3859","0.2858","0.2859","-0.0001","36.7959","27.6898","14","2026-08-16 13:25 UTC"
"MIA","2617","0.2954","0.2983","-0.0029","39.2878","24.166","8","2026-08-16 13:25 UTC"
"MIL","5220","0.3083","0.311","-0.0027","39.5095","22.2735","13","2026-08-16 13:25 UTC"
"MIN","3612","0.3042","0.3066","-0.0024","36.3376","24.1772","11","2026-08-16 13:25 UTC"
"NYM","1859","0.3139","0.3143","-0.0004","40.5003","22.5039","7","2026-08-16 13:25 UTC"
"NYY","3007","0.3","0.302","-0.002","36.6594","21.9666","8","2026-08-16 13:25 UTC"
"PHI","3351","0.2923","0.2915","0.0008","36.0401","25.2621","11","2026-08-16 13:25 UTC"
"PIT","3574","0.2993","0.2948","0.0045","38.9712","26.9395","10","2026-08-16 13:25 UTC"
"SDP","3938","0.2797","0.278","0.0017","34.6178","25.922","12","2026-08-16 13:25 UTC"
"SEA","2763","0.3009","0.2971","0.0038","38.4045","25.8665","9","2026-08-16 13:25 UTC"
"SFG","3406","0.3055","0.3194","-0.0139","39.4683","20.1798","11","2026-08-16 13:25 UTC"
"STL","2898","0.3082","0.3194","-0.0112","39.1707","21.7629","9","2026-08-16 13:25 UTC"
"TBR","3679","0.3029","0.3098","-0.0069","38.9287","24.6086","12","2026-08-16 13:25 UTC"
"TEX","4681","0.3081","0.3145","-0.0064","37.928","20.6457","10","2026-08-16 13:25 UTC"
"TOR","3404","0.2857","0.2877","-0.002","37.4203","23.4178","10","2026-08-16 13:25 UTC"
"WSH","4757","0.3308","0.332","-0.0012","40.304","19.8526","15","2026-08-16 13:25 UTC"
