"team","fatigue_score","arms_tired","arms_rested","high_lev_available","top_arms_detail","fetched_at"
"ARI","0.562","3","1","0","Kevin Ginkel (pitched yest, avail:0.5) | Taylor Clarke (pitched yest, avail:0.5) | Drey Jameson (pitched yest, avail:0.5)","2026-07-06 16:15 UTC"
"ATH","0.43","5","1","0","Elvis Alvarado (pitched yest, avail:0.297) | Mason Barnett (pitched yest, avail:0.425) | Justin Sterner (pitched yest, avail:0.5)","2026-07-06 16:15 UTC"
"ATL","0.481","4","4","0","Carlos Carrasco (pitched yest, avail:0.425) | Tyler Kinley (pitched yest, avail:0.5) | Dylan Dodd (pitched yest, avail:0.5)","2026-07-06 16:15 UTC"
"BAL","0.688","1","0","1","Rico Garcia (pitched yest, avail:0.5) | Tyler Wells (1d rest, avail:0.75) | Yennier Cano (1d rest, avail:0.75)","2026-07-06 16:15 UTC"
"BOS","0.444","5","0","0","Greg Weissert (pitched yest, avail:0.35) | Tyron Guerrero (pitched yest, avail:0.425) | Garrett Whitlock (pitched yest, avail:0.5)","2026-07-06 16:15 UTC"
"CHC","0.406","4","2","0","Tyler Ferguson (pitched yest, avail:0.35) | Ryan Rolison (pitched yest, avail:0.35) | Jacob Webb (pitched yest, avail:0.425)","2026-07-06 16:15 UTC"
"CIN","0.544","3","2","0","Emilio Pagán (pitched yest, avail:0.425) | Tejay Antone (pitched yest, avail:0.5) | Brock Burke (pitched yest, avail:0.5)","2026-07-06 16:15 UTC"
"CLE","0.35","7","1","0","Hunter Gaddis (pitched yest, avail:0.2) | Shawn Armstrong (pitched yest, avail:0.35) | Tim Herrin (pitched yest, avail:0.35)","2026-07-06 16:15 UTC"
"COL","0.463","4","2","0","Jordan Romano (pitched yest, avail:0.35) | Victor Vodnik (pitched yest, avail:0.5) | Brennan Bernardino (pitched yest, avail:0.5)","2026-07-06 16:15 UTC"
"CWS","0.463","4","3","0","Chris Murphy (pitched yest, avail:0.425) | Erick Fedde (pitched yest, avail:0.425) | Sean Newcomb (pitched yest, avail:0.5)","2026-07-06 16:15 UTC"
"DET","0.562","3","2","0","Kenley Jansen (pitched yest, avail:0.5) | Drew Sommers (pitched yest, avail:0.5) | Drew Anderson (pitched yest, avail:0.5)","2026-07-06 16:15 UTC"
