"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","536","16.2",39.6,"104.4","86.3","94.1","88.4","84","399","173","372","102",19,"6",1.1,1
"Hoerner, Nico","663538","520","11.9",36.5,"108.9","86","96.2","89","85.3","402","155","383","153",29.4,"7",1.3,1.1
"Lopez, Otto","672640","499","8.6",30.1,"112.8","89.1","100.3","92.5","87","427","148","402","205",41.1,"31",6.2,5
"Clement, Ernie","676391","489","17.4",33.1,"109.7","84.1","93.9","88.3","81.3","399","163","376","98",20,"10",2,1.8
"Simpson, Chandler","802415","483","1.3",25.7,"106.8","83.7","92.5","84.3","83.9","349","109",,"62",12.9,"0",0,0
"Albies, Ozzie","645277","479","18",33.6,"108.7","87.1","96.6","90.8","83.6","416","185","387","133",27.8,"19",4,3.1
"Bregman, Alex","608324","475","17.5",31.8,"108.3","88.1","97.9","91.8","86.6","416","170","390","177",37.3,"27",5.7,4.1
"Díaz, Yandy","650490","470","6.1",30.2,"113.7","91.1","102.7","94.4","90.3","439","147","388","228",48.7,"35",7.4,5.6
"Bichette, Bo","666182","461","8.4",37.1,"114.9","89.6","100.7","92.5","87.3","422","162","388","192",41.6,"31",6.7,5
"McGonigle, Kevin","805808","457","20.4",35.7,"109.5","88","98.3","92.1","83.1","422","186","393","166",36.4,"32",7,5.1
"Naylor, Josh","647304","456","10.8",35.1,"111.5","87.1","98.4","90.6","86.2","434","148","392","161",35.3,"20",4.4,3.5
"Tatis Jr., Fernando","665487","452","5.5",32.5,"115.7","92.9","104.7","97.9","89","474","151","404","245",54.2,"57",12.6,9.1
"Burleson, Alec","676475","452","13",34.7,"111.7","92","102.2","96.2","88.8","443","169","406","225",49.8,"50",11.1,8.1
"Lee, Jung Hoo","808982","451","10.8",35.7,"107.6","87.5","96.8","89.7","86.9","427","158","382","140",31,"11",2.4,2
"Dubón, Mauricio","643289","449","16",36.5,"108.3","86.5","96.5","88.9","85.7","413","168","390","133",29.7,"17",3.8,3.1
"Turner, Trea","607208","446","11.4",32.5,"110.1","88.5","99","91.9","86.7","434","162","391","178",39.9,"28",6.3,4.5
"Perdomo, Geraldo","672695","444","14.5",34.2,"109.9","87.3","96.4","89.7","85.3","421","162","383","134",30.2,"12",2.7,2
"Contreras, William","661388","438","13.1",32.2,"112.8","90.3","101.2","94.7","87.8","463","164","413","193",44.1,"35",8,6
"Henderson, Gunnar","683002","437","12.1",31.1,"111.9","89.2","100.4","93.9","86.6","419","163","393","187",42.8,"30",6.9,4.6
"Caminero, Junior","691406","437","9.1",26.8,"116.9","92.9","105.5","97.4","90.9","463","149","415","220",50.5,"57",13,9
"Lile, Daylen","695734","437","18.7",38.4,"109.8","88.7","99","92","84.8","429","195","400","167",38.3,"40",9.2,6.7
"Herrera, Iván","671056","436","9.2",30.7,"112.3","89.3","100.6","93.1","88.3","443","144","406","177",40.7,"24",5.5,3.7
"Kwan, Steven","680757","434","12.8",40.6,"102.2","83.6","92","86.4","80.9","381","155","372","43",9.9,"2",0.5,0.4
"Lee, Brooks","686797","434","15.5",31.3,"108","88.3","97.5","92.2","84.8","425","174","374","148",34.1,"18",4.1,3.2
"Edwards, Xavier","669364","432","9.6",36.1,"108.6","86.7","96.5","90.7","83.5","422","151","396","124",28.7,"14",3.2,2.4
"Stewart, Sal","701398","431","13",36.2,"111.4","90.2","100.5","94.5","85.3","456","176","397","170",39.4,"55",12.8,8.7
"Bohm, Alec","664761","431","9",34.1,"109.4","90.5","100.2","93","89.5","447","156","394","186",43.2,"26",6,4.6
"Freeman, Freddie","518692","429","12.2",38.7,"110.3","89.5","100","94","84.4","438","174","399","177",41.3,"35",8.2,5.8
"Guerrero Jr., Vladimir","665489","429","9",28.4,"116.3","90.6","102.8","92.4","90.8","437","146","408","191",44.5,"29",6.8,5.2
"Young, Cole","702284","428","13.6",32.9,"111.3","88.1","99","91.8","86.8","423","160","383","159",37.1,"20",4.7,3.5
"Paredes, Isaac","670623","428","24.5",37.6,"109.5","86","96.4","90.2","80.7","407","187","375","120",28,"20",4.7,3.4
"Rafaela, Ceddanne","678882","425","12",34.4,"109.9","86.3","96.9","89.7","83.6","411","160","382","135",31.8,"22",5.2,3.9
"Perez, Salvador","521692","423","15.6",35,"111.3","88.9","100.1","93.4","84.1","440","177","405","179",42.3,"44",10.4,7.7
"Abreu, Wilyer","677800","423","18.8",36.2,"113.1","89.8","100.8","93.7","86.2","443","196","406","184",43.5,"52",12.3,8.4
"Vargas, Miguel","678246","421","20.1",40.9,"112.9","90.5","100.7","94.5","84.7","433","201","392","190",45.2,"57",13.5,9.1
"Harris II, Michael","671739","421","9.5",30.4,"114.9","90.4","103.3","95","87.3","425","159","397","203",48.2,"44",10.5,8
"Rocchio, Brayan","677587","418","13.5",34.9,"109.6","86.9","97","89.7","85.8","405","161","384","129",31,"13",3.1,2.4
"Marte, Ketel","606466","418","14",31.8,"116.9","90.1","101.7","93.1","88.9","452","169","408","175",41.9,"41",9.8,7.4
"Gonzales, Nick","693304","415","7.1",34.7,"109.7","86","97.5","89.9","83.2","431","146","397","140",33.7,"12",2.9,2.2
"Rumfield, TJ","681198","415","15.8",37.1,"110.2","84.4","96.2","89.1","79.9","456","174","412","116",28,"21",5.1,3.7
"Wetherholt, JJ","802139","412","11.6",35.4,"108.7","89.9","99.5","94.5","85.3","425","167","393","184",44.8,"31",7.5,5.3
"Merrill, Jackson","701538","411","14.6",38.9,"112.7","91.2","101.2","96","85.2","449","185","412","197",47.9,"50",12.2,8.4
"Nimmo, Brandon","607043","409","10.3",34.7,"110.6","92.3","101.9","95.4","89.2","436","177","404","210",51.3,"40",9.8,6.8
"Alvarez, Yordan","670541","409","19",41.1,"118.5","94.3","105","96.6","91","455","212","403","217",53.1,"66",16.1,10.5
"Walker, Jordan","691023","407","12.1",33.4,"116.6","92.4","104.6","95.5","91.8","459","168","406","198",48.6,"53",13,8.7
"Rodríguez, Julio","677594","404","13.2",32.4,"114.6","90","102.3","93.9","87.1","436","165","404","176",43.6,"36",8.9,6.2
"Witt Jr., Bobby","677951","404","16.9",38.1,"117.2","92.3","103.3","95.3","92.3","432","188","404","205",50.7,"48",11.9,8.5
"Olson, Matt","621566","404","18.2",32.2,"111.6","92.6","103.7","97","87.8","441","194","408","204",50.5,"60",14.9,9.6
"Adell, Jo","666176","403","16.4",32.8,"114.9","90","102.2","94","87.6","455","170","414","175",43.5,"36",8.9,6.1
"Bell, Josh","605137","403","13.4",32.8,"113.7","90","100.4","94.2","87.2","460","171","410","171",42.4,"39",9.7,6.9
"Machado, Manny","592518","403","13.7",33.3,"112","90.6","101.4","94.4","88","436","174","398","182",45.2,"40",9.9,6.6
"Busch, Michael","683737","402","15.8",34.1,"109.2","88.5","98.9","92.3","83.8","427","179","403","162",40.3,"36",9,5.6
"McCarthy, Jake","664983","400","12.6",37.5,"110.4","85.6","97.4","90.3","81.7","448","156","415","115",28.7,"21",5.3,4
"Benge, Carson","701807","400","11.8",37.5,"109.8","88.7","99.6","91.7","86.3","451","167","396","155",38.8,"28",7,4.9
"Alonso, Pete","624413","399","14.6",35.8,"114.6","94.1","103.9","97.3","90.9","443","181","402","227",56.9,"56",14,8.9
"Crow-Armstrong, Pete","691718","397","21.6",38.3,"114.6","90.5","102.3","94.7","85.9","444","195","397","194",48.9,"53",13.4,8.1
"Durbin, Caleb","702332","397","12.5",29,"107.9","83.5","95.4","89.5","81.1","415","138","376","102",25.7,"11",2.8,2.1
"Hicks, Liam","689414","397","14.6",30,"108.9","84.8","96.3","88.7","83.5","431","153","382","109",27.5,"16",4,3.2
"Carroll, Corbin","682998","396","15.9",30.1,"112.9","91.8","101.9","96","88.9","448","175","402","190",48,"48",12.1,7.9
"Aranda, Jonathan","666018","395","14.4",39,"111.4","91.2","100.6","94","87.1","453","188","392","180",45.7,"39",9.9,6.4
"Keaschall, Luke","807712","395","18.1",35.4,"107.3","85.6","96.7","90.3","81.7","411","177","378","116",29.4,"14",3.5,2.6
"Devers, Rafael","646240","395","14.9",30.9,"112.5","93","103","96.5","90.2","463","184","398","204",51.6,"49",12.4,7.9
"Stott, Bryson","681082","394","14.5",35,"111.9","89.2","98.7","92.5","86.7","464","174","393","149",37.8,"24",6.1,4.4
"Reynolds, Bryan","668804","393","8.3",38.9,"113.7","91","102.1","95.8","86.3","443","169","410","189",48.1,"45",11.5,7.1
"Pages, Andy","681624","391","15.6",36.6,"109.7","88.8","99.9","92.6","86.2","425","176","390","165",42.2,"30",7.7,5.5
"Meidroth, Chase","805367","390","8.2",33.1,"107.7","87.3","97.1","91","84.4","417","143","379","132",33.9,"16",4.1,2.8
"Tucker, Kyle","663656","387","17.4",33.6,"108.6","88.6","98.3","89.8","87.9","435","176","391","142",36.7,"21",5.4,3.8
"Harper, Bryce","547180","386","12.7",38.1,"113.5","90.5","101.6","94.4","86.6","457","174","402","173",44.8,"42",10.9,6.8
"Vargas, Ildemaro","545121","386","10.8",30.8,"109.4","87.3","98","89.9","88","431","152","396","133",34.5,"12",3.1,2.6
"Abrams, CJ","682928","385","18.2",32.7,"110.8","89.5","100","94.1","86.3","434","176","396","158",41,"39",10.1,6.5
"Arozarena, Randy","668227","383","9.6",37.1,"113","90.6","100.3","93.9","88.4","437","159","386","160",41.8,"30",7.8,5.1
"Dingler, Dillon","693307","383","17.9",38.9,"110.8","88.5","100.4","93.1","84.3","443","183","398","164",42.8,"38",9.9,6.8
"García Jr., Luis","671277","383","11.5",33.4,"114","91.6","102.4","96.3","88.8","455","162","397","178",46.5,"46",12,9.4
"Walker, Christian","572233","382","14.1",30.9,"112.5","89.1","101","92.3","87.6","440","164","393","156",40.8,"34",8.9,6
