"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Alcantara, Sandy","645261","325","11.2",32.6,"111.3","87.9","77","91.8","85.1","418","155","395","116",35.7,"20",6.2,4.6
"Wacha, Michael","608379","278","15.6",32.4,"112.5","88.6","77.9","92.8","84.3","419","170","397","103",37.1,"16",5.8,4.2
"Martinez, Nick","607259","274","15.4",37.2,"111.9","87","75.5","91.7","82.9","415","176","392","88",32.1,"18",6.6,5.3
"Kirby, George","669923","273","9.7",31.1,"109.2","89.6","79.1","92.3","88.1","412","143","388","114",41.8,"17",6.2,4.5
"Baz, Shane","669358","270","13.5",37,"116.9","90.4","80.2","94.3","86.6","423","176","398","110",40.7,"22",8.1,5.7
"Nelson, Ryne","669194","265","19.3",34.7,"112.4","90.5","80.2","94.1","87.5","441","197","401","115",43.4,"27",10.2,7.6
"Sánchez, Cristopher","650911","264","1.6",30.7,"112.7","89.3","77.8","94.4","86.5","429","132","403","114",43.2,"24",9.1,6
"Elder, Bryce","693821","264","13.1",30.7,"113","89.5","79.3","93.5","87.1","454","156","399","101",38.3,"10",3.8,2.7
"Rodriguez, Eduardo","593958","263","13.3",36.5,"111.1","88.3","77.6","93.5","83.2","432","171","418","94",35.7,"21",8,5.8
"Lugo, Seth","607625","262","15.1",39.7,"110.9","90.3","80.2","93","88.3","435","183","406","111",42.4,"27",10.3,7.6
"Gallen, Zac","668678","261","11.3",31.4,"113.6","91","80.7","94.6","87.7","448","168","394","117",45.2,"25",9.6,7.4
"McGreevy, Michael","700241","260","10.6",35.4,"116","89.6","78.3","93.8","85.9","442","162","406","105",40.4,"25",9.6,7.5
"Valdez, Framber","664285","260","8",29.2,"111.9","90","79.7","93.7","87.4","449","149","402","110",42.3,"18",6.9,4.9
"Springs, Jeffrey","605488","257","17.2",34.2,"114.1","87.8","76.7","92.9","81.1","444","185","403","92",35.8,"26",10.1,7.3
"Bibee, Tanner","676440","257","16.4",34.2,"115.6","90.8","80.6","94.1","88.5","422","175","391","117",45.5,"26",10.1,7.1
"Gausman, Kevin","592332","256","15.9",32.8,"112.3","88","76","93.6","83.6","428","173","388","93",36.3,"20",7.8,5.5
"Burrows, Mike","681347","255","15.4",36.5,"113.9","88","76.8","91.8","85.1","436","170","397","97",38,"23",9,6.5
"Eovaldi, Nathan","543135","253","9.9",29.2,"115.9","88.4","76.9","93.9","85.6","437","155","391","100",39.5,"23",9.1,6.3
"Lorenzen, Michael","547179","253","11.5",37.5,"114.2","89.9","78.6","93.5","87.3","454","172","413","115",45.5,"23",9.1,6.7
"Keller, Mitch","656605","251","12.4",37.5,"111.2","88.6","77.2","93.6","84.7","406","164","390","103",41,"16",6.4,4.5
"Mikolas, Miles","571945","251","12.1",33.1,"113.3","89.6","78.2","94.5","85.8","420","168","394","103",41,"24",9.6,7.7
"Wrobleski, Justin","680736","248","14",35.1,"111.5","90.5","80.5","92.1","89.6","440","173","405","110",44.4,"18",7.3,5.7
"Sugano, Tomoyuki","608372","248","15.3",39.1,"116.7","90.8","80","95.6","84.8","452","189","411","112",45.2,"36",14.5,11.5
"Abbott, Andrew","671096","248","17.5",31,"113","89.8","79.8","93.4","87.5","415","176","382","95",38.6,"17",6.9,5
"Vásquez, Randy","681190","247","17.3",41.3,"114.1","91.4","81.7","95.1","87.5","434","193","396","113",45.7,"32",13,9.6
"Woo, Bryan","693433","247","18.8",33.2,"114.3","89.6","78.8","93.3","87.2","439","177","396","110",44.5,"18",7.3,5.1
"Littell, Zack","641793","246","20.1",36.2,"115.2","92.4","83.5","95.1","90.7","433","195","395","112",45.5,"28",11.4,9
"Cecconi, Slade","677944","245","12.3",36.7,"112.2","88.4","77.3","93.4","84.3","443","163","400","91",37.1,"20",8.2,5.9
"Ashcraft, Braxton","677952","244","12.3",29.9,"112.2","89.4","79.2","93","86.5","415","152","382","93",38.1,"13",5.3,3.5
"Imanaga, Shota","684007","240","17.2",33.3,"111.1","88.5","77.5","93.7","84.9","426","172","400","92",38.3,"25",10.4,7.2
"Schlittler, Cam","693645","240","12.2",34.2,"115.1","87.9","76.2","93","83.8","399","165","376","94",39.2,"16",6.7,4.3
"Rea, Colin","607067","239","12.5",37.2,"112.5","90.3","80.3","94.3","87.5","442","167","397","101",42.3,"29",12.1,8.8
"Peralta, Freddy","642547","239","13.4",34.7,"114.7","87.7","76.1","92.9","83.4","431","155","384","94",39.3,"13",5.4,3.6
"Soriano, José","667755","237","6.7",31.2,"112.3","88.2","77.2","92","85.7","429","143","392","89",37.6,"21",8.9,5.5
"Griffin, Foster","656492","237","13",37.1,"119","87.9","75.7","92.6","84.8","451","164","406","89",37.6,"26",11,7.5
"Kelly, Merrill","518876","236","15.1",42.8,"113.4","90.3","79.2","94.6","85.6","440","193","400","102",43.2,"36",15.3,11.7
"Luzardo, Jesús","666200","235","8",37.9,"110.9","86.3","75.5","90.5","83.6","418","145","386","68",28.9,"15",6.4,4.1
"Williams, Gavin","668909","234","9.5",32.9,"116","91.3","80.6","96.9","87.8","430","164","392","112",49.1,"30",12.8,8.1
"King, Michael","650633","233","13.5",31.8,"114.6","87.4","76.2","92.7","83.6","423","156","396","81",34.8,"23",9.9,6.6
"Leiter, Jack","683004","233","16.2",37.8,"113","88","76.3","93.2","82.9","449","180","396","93",39.9,"24",10.3,6.8
"Soroka, Michael","647336","232","17",36.6,"112","87.7","76.5","92.3","83.7","435","173","395","79",34.1,"20",8.6,6
"Cameron, Noah","702070","232","17.2",40.1,"115.9","88.7","77.3","92.1","85.9","434","177","397","91",39.2,"21",9.1,6.5
"Nola, Aaron","605400","231","13.5",35.1,"113.5","88.1","76.1","94.7","81","438","167","392","91",39.4,"21",9.1,6.3
"Ryan, Joe","657746","230","18.4",32.6,"112.2","89.7","78.8","93.7","88.2","419","170","398","99",43,"24",10.4,6.8
"Pallante, Andre","669467","230","6.7",31.3,"117.8","87.7","75.9","93","85.1","421","140","402","82",35.7,"15",6.5,4.7
"Gilbert, Logan","669302","229","18.7",40.6,"112.8","90.7","80.4","94.1","86.6","428","190","396","103",45,"27",11.8,7.8
"Fedde, Erick","607200","228","16.3",35.1,"114.5","88.4","77.5","92.3","85.5","412","175","387","87",38.2,"19",8.3,6.2
"Martin, Davis","663436","227","11.4",35.2,"113.7","90.3","79.8","94","88","425","158","386","104",46.6,"14",6.2,4.2
"Freeland, Kyle","607536","227","15.2",36.6,"112.9","90.9","80.1","92.6","90.1","425","181","396","100",44.1,"21",9.3,6.9
"May, Dustin","669160","227","11.1",32.2,"114.7","90.2","79.7","94.3","88.7","405","153","371","106",46.7,"15",6.6,4.6
"Kay, Anthony","641743","226","12.3",34.5,"113.4","89.4","78.1","92.8","87.4","437","157","400","90",39.8,"21",9.3,6.5
"Montero, Keider","672456","226","20.6",30.1,"111.8","89.6","79.7","93","89.3","451","173","394","90",39.8,"19",8.4,6.4
"Detmers, Reid","672282","226","19.2",31,"111.7","89.3","79.4","91.6","89.5","430","174","406","81",35.8,"15",6.6,4.2
