"game_date","game_time","away_team","home_team","away_ml","home_ml","away_rl","home_rl","rl_line","total","over_line","under_line","bookmaker","fetched_at"
"2026-06-06","00:11 UTC","ATH","HOU","272","-388","-106","-123","2.5","10.5","-131","101","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","00:16 UTC","CIN","STL","-253","188","103","-134","-2.5","11.5","-117","-111","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","00:16 UTC","CLE","TEX","-233","174","-124","-105","-1.5","7.5","-115","-113","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","00:41 UTC","MIL","COL","-161","133","-110","-110","-1.5","12.0","-111","-109","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","00:46 UTC","KCR","MIN","100","-121","166","-203","-1.5","8.5","-111","-109","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","01:41 UTC","WSH","ARI","117","-142","-175","144","1.5","9.0","-102","-118","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","01:41 UTC","NYM","SDP","108","-131","-206","168","1.5","7.0","-120","100","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","02:11 UTC","LAA","LAD","163","-199","-131","108","1.5","8.5","-102","-118","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","17:11 UTC","SEA","DET","-136","113","123","-149","-1.5","8.5","-110","-110","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","18:10 UTC","KCR","MIN","129","-156","-171","141","1.5","8.0","-118","-102","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","18:16 UTC","CIN","STL","109","-131","-194","159","1.5","9.5","-108","-111","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","18:21 UTC","SFG","CHC","119","-143","-181","149","1.5","8.5","-105","-115","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","19:08 UTC","BAL","TOR","-108","-112","153","-186","-1.5","8.0","-110","-110","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","20:06 UTC","CWS","PHI","113","-136","-175","144","1.5","10.0","-106","-114","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","20:11 UTC","WSH","ARI","135","-163","-149","123","1.5","9.0","-112","-108","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","20:11 UTC","ATH","HOU","-108","-112","153","-186","-1.5","9.0","-122","102","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","20:11 UTC","PIT","ATL","-105","-115","151","-183","-1.5","8.5","-112","-108","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","20:11 UTC","TBR","MIA","-154","130","108","-130","-1.5","8.0","-110","-110","fanduel","2026-06-06 00:33 UTC"
"2026-06-06","23:36 UTC","BOS","NYY","113","-136","-194","159","1.5","8.5","-102","-118","draftkings","2026-06-06 00:33 UTC"
"2026-06-06","23:36 UTC","CLE","TEX","-108","-112","159","-194","-1.5","8.0","-116","-104","draftkings","2026-06-06 00:33 UTC"
