pitcher_id,name,hand
519242,Chris Sale,L
543135,Nathan Eovaldi,R
547179,Michael Lorenzen,R
554430,Zack Wheeler,R
571578,Patrick Corbin,L
593974,Wandy Peralta,L
607067,Colin Rea,R
607259,Nick Martinez,R
608372,Tomoyuki Sugano,R
621111,Walker Buehler,R
642547,Freddy Peralta,R
650911,Cristopher Sánchez,L
656302,Dylan Cease,R
656794,Sean Newcomb,L
656849,David Peterson,L
657277,Logan Webb,R
663436,Davis Martin,R
663568,Stephen Kolek,R
668678,Zac Gallen,R
669022,MacKenzie Gore,L
669160,Dustin May,R
669302,Logan Gilbert,R
669372,J.T. Ginn,R
669432,Trevor Rogers,L
671096,Andrew Abbott,L
671737,Taj Bradley,R
672282,Reid Detmers,L
672456,Keider Montero,R
674841,Andrew Alvarez,L
675512,Troy Melton,R
676106,Emerson Hancock,R
676282,Joey Cantillo,L
676917,Cade Cavalli,R
676974,Max Meyer,R
677944,Slade Cecconi,R
678022,Jack Perkins,R
678906,Kai-Wei Teng,R
681293,Spencer Arrighetti,R
683003,Jared Jones,R
684007,Shota Imanaga,L
686218,Emmet Sheehan,R
686790,Trevor McDonald,R
687064,Brandon Young,R
687473,Ryan Gusto,R
688107,Robert Gasser,L
690986,Kyle Harrison,L
693821,Bryce Elder,R
693855,Ian Seymour,L
694973,Paul Skenes,R
695505,Chase Burns,R
695684,Elmer Rodríguez,R
700712,Walbert Ureña,R
701542,Will Warren,R
702474,Mike Paredes,R
703615,Jose Cabrera,R
801139,Payton Tolle,L
808967,Yoshinobu Yamamoto,R
813349,Connelly Early,L
