URL: https://baseballsavant.mlb.com/leaderboard/custom?year=2026&type=batter&group_by=team&filter=&min=0&selections=pa%2Cwoba%2Cxwoba%2Chard_hit_percent%2Cbb_percent%2Ck_percent&sort=xwoba&sortDir=desc&csv=true&pitcher_throws=R

Response length: 38068 chars

First 2000 chars of response:
﻿"last_name, first_name","player_id","year","pa","woba","xwoba","hard_hit_percent","bb_percent","k_percent"
"Call, Alex",669743,2026,154,".315",".276",17.9,11.7,16.9
"Dean, Justin",681909,2026,10,".477",".345",50,20,40
"Doyle, Brenton",686668,2026,161,".257",".238",33,7.5,30.4
"Jones, Jahmai",663330,2026,131,".285",".315",44.7,9.2,32.1
"Garver, Mitch",641598,2026,149,".278",".301",48.1,14.8,32.9
"Devers, Rafael",646240,2026,533,".338",".321",50.7,9.8,26.5
"Mateo, Jorge",622761,2026,143,".300",".324",45.2,5.6,29.4
"Kemp, Otto",805249,2026,27,".119",".205",13.3,3.7,37
"Siani, Michael",672279,2026,1,".000",".292",0,0,0
"Mullins, Cedric",656775,2026,417,".286",".259",31.7,8.2,20.1
"Groover, LuJames",694410,2026,54,".245",".286",45.9,9.3,20.4
"Smith, Pavin",656976,2026,89,".206",".255",31.1,11.2,20.2
"Cook, Billy",695257,2026,49,".200",".155",20.7,2,38.8
"Ford, Harry",695670,2026,60,".326",".243",29.4,11.7,30
"Bateman, Brett",703520,2026,51,".282",".267",13.2,5.9,19.6
"Serven, Brian",661531,2026,36,".289",".298",32.1,2.8,19.4
"Yastrzemski, Mike",573262,2026,320,".310",".309",43.5,10,24.1
"Realmuto, J.T.",592663,2026,357,".281",".319",40.4,7.6,21.3
"Hamilton, David",666152,2026,308,".295",".268",27.7,9.7,22.4
"Lee, Hao-Yu",701678,2026,227,".323",".295",38.1,6.2,23.3
"Cruz, Trei",669360,2026,5,".000",".097",50,0,60
"Veen, Zac",691728,2026,19,".412",".350",36.4,5.3,36.8
"Ornelas, Jonathan",680716,2026,22,".193",".178",50,4.5,50
"Fry, David",681807,2026,168,".289",".258",32.6,14.9,30.4
"Pauley, Graham",688363,2026,115,".234",".219",24.1,4.3,23.5
"Suárez, Eugenio",553993,2026,383,".305",".276",36.6,9.4,36
"Dunn, Oliver",686554,2026,12,".132",".207",25,8.3,25
"Kirk, Alejandro",672386,2026,202,".340",".311",38.2,10.9,11.4
"Carrigg, Cole",694249,2026,232,".358",".327",32.1,10.3,20.7
"Crews, Dylan",686611,2026,307,".286",".319",43.7,6.8,23.8
"Tromp, Chadwick",644433,2026,51,".150",".170",26.3,0,25.5
"Baker, Luken",663609,2026,5,".178",".123",50,0,60
"Lewis, Royce",668904,2026,381
