"game_date","game_pk","game_num","game_time","venue","away_team","away_team_name","home_team","home_team_name","away_pitcher_id","away_pitcher","home_pitcher_id","home_pitcher","status"
"2026-08-22","823509","","2026-08-22T17:35:00Z","Yankee Stadium","TOR","Toronto Blue Jays","NYY","New York Yankees","656302","Cease, Dylan","677960","Weathers, Ryan","In Progress"
"2026-08-22","823743","","2026-08-22T18:10:00Z","American Family Field","ATL","Atlanta Braves","MIL","Milwaukee Brewers","527048","Pérez, Martín","701656","Henderson, Logan","In Progress"
"2026-08-22","823831","","2026-08-22T20:10:00Z","loanDepot park","WSH","Washington Nationals","MIA","Miami Marlins","663623","Irvin, Jake","691587","Pérez, Eury","Pre-Game"
"2026-08-22","823422","","2026-08-22T22:05:00Z","Citizens Bank Park","STL","St. Louis Cardinals","PHI","Philadelphia Phillies","687273","Mathews, Quinn","691725","Painter, Andrew","Pre-Game"
"2026-08-22","824798","","2026-08-22T23:05:00Z","Oriole Park at Camden Yards","TBR","Tampa Bay Rays","BAL","Baltimore Orioles","663556","McClanahan, Shane","687064","Young, Brandon","Pre-Game"
"2026-08-22","822858","","2026-08-22T23:05:00Z","Globe Life Field","LAA","Los Angeles Angels","TEX","Texas Rangers","696270","Johnson, Ryan","674003","Bradford, Cody","Pre-Game"
"2026-08-22","824151","","2026-08-22T23:10:00Z","Daikin Park","ATH","Athletics","HOU","Houston Astros","682052","Lopez, Jacob","686613","Brown, Hunter","Scheduled"
"2026-08-22","824560","","2026-08-22T23:10:00Z","Rate Field","NYM","New York Mets","CWS","Chicago White Sox","681035","Scott, Christian","622491","Castillo, Luis","Pre-Game"
"2026-08-22","824073","","2026-08-22T23:15:00Z","Kauffman Stadium","DET","Detroit Tigers","KCR","Kansas City Royals","623454","Anderson, Drew","608379","Wacha, Michael","Pre-Game"
"2026-08-22","823910","","2026-08-22T23:15:00Z","UNIQLO Field at Dodger Stadium","PIT","Pittsburgh Pirates","LAD","Los Angeles Dodgers","683003","Jones, Jared","669373","Skubal, Tarik","Pre-Game"
"2026-08-22","823100","","2026-08-22T23:15:00Z","T-Mobile Park","CHC","Chicago Cubs","SEA","Seattle Mariners","656849","Peterson, David","807739","Anderson, Kade","Pre-Game"
"2026-08-22","824718","","2026-08-22T23:15:00Z","Fenway Park","SFG","San Francisco Giants","BOS","Boston Red Sox","694918","Tidwell, Blade","663776","Sandoval, Patrick","Pre-Game"
"2026-08-22","825044","","2026-08-23T00:10:00Z","Chase Field","CIN","Cincinnati Reds","ARI","Arizona Diamondbacks","695076","Lowder, Rhett","647336","Soroka, Michael","Scheduled"
"2026-08-22","824316","","2026-08-23T00:10:00Z","Coors Field","CLE","Cleveland Guardians","COL","Colorado Rockies","676440","Bibee, Tanner","687312","Hughes, Gabriel","Pre-Game"
"2026-08-22","823261","","2026-08-23T00:40:00Z","Petco Park","MIN","Minnesota Twins","SDP","San Diego Padres","665152","Kremer, Dean","663554","Mize, Casey","Scheduled"
