pitcher_id,name,pitches,pa,k_percent,bb_percent,woba,xwoba,gap,hard_hit_percent,window_days
672282,"Detmers, Reid",400,88,35.2,5.7,0.234,0.251,-0.017,30.8,21
663776,"Sandoval, Patrick",360,94,25.5,9.6,0.369,0.323,0.046,44.3,21
645261,"Alcantara, Sandy",531,136,9.6,11.8,0.432,0.401,0.031,47.6,21
687273,"Mathews, Quinn",492,127,17.3,9.4,0.305,0.316,-0.011,37.4,21
691725,"Painter, Andrew",455,123,20.3,10.6,0.406,0.366,0.04,35.3,21
666157,"Lodolo, Nick",388,102,16.7,16.7,0.362,0.36,0.002,38.2,21
693645,"Schlittler, Cam",478,115,36.5,6.1,0.161,0.202,-0.041,25.8,21
696149,"Chandler, Bubba",460,109,25.7,9.2,0.342,0.352,-0.01,45.1,21
669373,"Skubal, Tarik",466,129,21.7,6.2,0.298,0.294,0.004,33.3,21
694819,"Misiorowski, Jacob",312,78,37.2,6.4,0.218,0.223,-0.005,34.1,21
615698,"Quantrill, Cal",433,121,17.4,5.0,0.246,0.298,-0.052,43.6,21
608379,"Wacha, Michael",495,124,17.7,12.9,0.313,0.297,0.016,31.4,21
642547,"Peralta, Freddy",453,107,16.8,9.3,0.193,0.276,-0.083,35.4,21
663554,"Mize, Casey",329,86,18.6,10.5,0.381,0.353,0.028,47.5,21
667755,"Soriano, José",446,126,16.7,7.9,0.313,0.303,0.01,27.4,21
623454,"Anderson, Drew",331,84,20.2,10.7,0.305,0.309,-0.004,34.5,21
687064,"Young, Brandon",460,117,22.2,14.5,0.405,0.321,0.084,32.9,21
678022,"Perkins, Jack",419,107,23.4,6.5,0.318,0.316,0.002,34.7,21
682243,"Miller, Bryce",441,102,27.5,19.6,0.35,0.403,-0.053,29.6,21
656849,"Peterson, David",334,85,25.9,11.8,0.294,0.301,-0.007,28.3,21
669713,"Wesneski, Hayden",367,101,12.9,6.9,0.373,0.298,0.075,46.9,21
700363,"Smith-Shawver, AJ",277,66,18.2,13.6,0.421,0.344,0.077,35.6,21
694738,"Roupp, Landen",250,66,12.1,16.7,0.276,0.333,-0.057,40.4,21
687312,"Hughes, Gabriel",490,104,26.9,7.7,0.379,0.345,0.034,47.1,21
665152,"Kremer, Dean",328,81,23.5,8.6,0.246,0.305,-0.059,27.3,21
664353,"Urquidy, José",275,76,18.4,2.6,0.31,0.325,-0.015,43.3,21
676440,"Bibee, Tanner",500,137,16.1,8.0,0.364,0.312,0.052,37.5,21
640455,"Manaea, Sean",288,85,27.1,4.7,0.27,0.296,-0.026,46.6,21
669203,"Burnes, Corbin",255,60,16.7,10.0,0.407,0.375,0.032,36.4,21
622694,"Hernández, Elieser",98,22,36.4,18.2,0.573,0.38,0.193,80.0,21
680732,"Burke, Sean",288,75,17.3,13.3,0.463,0.417,0.046,58.8,21
608718,"Suter, Brent",187,50,20.0,2.0,0.202,0.201,0.001,24.3,21
690978,"Fulton, Dax",247,66,28.8,13.6,0.316,0.314,0.002,55.3,21
671936,"Macko, Adam",148,39,23.1,5.1,0.442,0.328,0.114,42.9,21
683000,"Cornelio, Riley",267,63,36.5,12.7,0.186,0.278,-0.092,40.6,21
688297,"Roycroft, Chris",176,45,15.6,8.9,0.362,0.279,0.083,44.1,21
687849,"Kent, Zak",68,16,12.5,12.5,0.2,0.335,-0.135,33.3,21
670103,"Burgos, Raymond",84,24,16.7,0.0,0.589,0.433,0.156,45.0,21
805326,"Schweitzer, Tyler",124,39,5.1,5.1,0.276,0.332,-0.056,37.1,21
700669,"Graceffo, Gordon",182,47,27.7,10.6,0.226,0.274,-0.048,29.6,21
656638,"Lange, Alex",131,30,16.7,20.0,0.472,0.37,0.102,47.4,21
693313,"Seymour, Carson",185,45,15.6,15.6,0.44,0.373,0.067,34.5,21
664129,"Hartlieb, Geoff",227,62,30.6,8.1,0.213,0.272,-0.059,47.4,21
820862,"Fermin, José",180,43,16.3,9.3,0.438,0.41,0.028,48.4,21
696062,"Dotel, Wilber",201,52,17.3,3.8,0.272,0.27,0.002,36.6,21
686796,"Walston, Blake",68,18,22.2,11.1,0.1,0.232,-0.132,0.0,21
669704,"Strowd, Kade",54,14,0.0,28.6,0.329,0.483,-0.154,20.0,21
650644,"Civale, Aaron",254,58,29.3,13.8,0.242,0.231,0.011,24.2,21
695380,"Hoppe, Alex",124,32,15.6,18.8,0.548,0.429,0.119,40.0,21
656730,"Megill, Trevor",172,44,27.3,4.5,0.355,0.268,0.087,40.0,21
660825,"Bazardo, Eduard",122,31,22.6,22.6,0.626,0.519,0.107,64.7,21
664991,"Wolfram, Grant",166,39,33.3,5.1,0.242,0.265,-0.023,37.5,21
680899,"Tolman, Erik",243,53,17.0,17.0,0.391,0.361,0.03,28.6,21
621345,"Minter, A.J.",182,48,25.0,6.2,0.359,0.319,0.04,63.6,21
548384,"Raley, Brooks",111,25,16.0,20.0,0.61,0.479,0.131,62.5,21
693686,"Miles, Spencer",188,47,36.2,6.4,0.179,0.239,-0.06,40.7,21
669270,"Kuhnel, Joel",203,47,10.6,12.8,0.357,0.406,-0.049,41.7,21
670062,"Garcia, Julian",157,40,12.5,15.0,0.28,0.264,0.016,27.6,21
677955,"Hill, Jaden",164,41,19.5,17.1,0.224,0.273,-0.049,30.8,21
621237,"Alvarado, José",174,43,27.9,9.3,0.311,0.305,0.006,42.3,21
696519,"Natera Jr., Samy",115,25,24.0,12.0,0.35,0.294,0.056,56.2,21
683769,"Gaddis, Hunter",206,53,22.6,9.4,0.275,0.281,-0.006,25.0,21
681320,"Lavender, Nate",160,44,34.1,4.5,0.334,0.301,0.033,40.7,21
650556,"Abreu, Bryan",163,43,34.9,7.0,0.313,0.26,0.053,40.0,21
689225,"Brieske, Beau",250,60,26.7,1.7,0.285,0.284,0.001,46.5,21
678606,"Ferrer, José A.",168,42,33.3,9.5,0.35,0.291,0.059,37.5,21
656945,"Scott, Tanner",149,38,39.5,10.5,0.338,0.246,0.092,26.3,21
699823,"Davis, Tyler",73,17,17.6,0.0,0.306,0.416,-0.11,42.9,21
681867,"Criswell, Cooper",164,43,23.3,7.0,0.374,0.309,0.065,46.7,21
657097,"Webb, Jacob",178,43,27.9,11.6,0.376,0.416,-0.04,42.3,21
673540,"Senga, Kodai",148,36,33.3,13.9,0.411,0.425,-0.014,42.1,21
671922,"Smith, Cade",187,47,46.8,10.6,0.132,0.202,-0.07,25.0,21
688692,"Simpson, Jared",77,15,6.7,66.7,0.527,0.617,-0.09,25.0,21
656546,"Hoffman, Jeff",160,35,40.0,14.3,0.144,0.197,-0.053,26.7,21
657612,"Hill, Tim",111,30,6.7,13.3,0.48,0.359,0.121,54.2,21
805123,"Blubaugh, AJ",240,61,14.8,18.0,0.419,0.437,-0.018,39.0,21
671162,"Thomas, Connor",221,58,22.4,3.4,0.291,0.249,0.042,41.9,21
682120,"Herrin, Tim",197,41,36.6,9.8,0.291,0.26,0.031,36.4,21
684974,"Yoho, Craig",132,32,34.4,12.5,0.213,0.288,-0.075,23.5,21
623352,"Hader, Josh",183,44,13.6,18.2,0.327,0.273,0.054,23.3,21
669084,"Hall, DL",295,79,22.8,15.2,0.247,0.33,-0.083,44.9,21
672841,"Vargas, Carlos",204,60,20.0,10.0,0.336,0.329,0.007,31.0,21
642121,"Sulser, Cole",182,43,16.3,4.7,0.232,0.307,-0.075,48.5,21
674444,"Cruz, Steven",144,38,28.9,5.3,0.35,0.296,0.054,52.0,21
665665,"Sanmartin, Reiver",93,25,8.0,8.0,0.283,0.306,-0.023,28.6,21
669711,"Weissert, Greg",154,40,25.0,2.5,0.241,0.215,0.026,13.8,21
642701,"Santana, Dennis",102,30,30.0,3.3,0.143,0.191,-0.048,35.0,21
680604,"Castaño, Blas",108,23,17.4,13.0,0.224,0.317,-0.093,43.8,21
656464,"Ginkel, Kevin",142,34,29.4,2.9,0.307,0.304,0.003,52.2,21
641835,"Mayza, Tim",139,32,12.5,9.4,0.341,0.335,0.006,56.0,21
681190,"Vásquez, Randy",156,41,22.0,9.8,0.34,0.309,0.031,35.7,21
687330,"Kelly, Kevin",149,39,28.2,0.0,0.341,0.248,0.093,42.9,21
682825,"Mey, Luis",196,52,21.2,13.5,0.421,0.378,0.043,46.9,21
571948,"Milner, Hoby",71,16,31.2,6.2,0.256,0.181,0.075,40.0,21
621016,"Cuas, Jose",112,25,28.0,8.0,0.272,0.273,-0.001,18.8,21
621074,"Rucker, Michael",111,25,32.0,8.0,0.208,0.271,-0.063,20.0,21
666661,"Morillo, Juan",136,42,23.8,9.5,0.337,0.29,0.047,42.9,21
676742,"Sanders, Cam",116,30,36.7,16.7,0.35,0.283,0.067,21.4,21
667652,"Ralston, Jack",224,53,28.3,18.9,0.318,0.315,0.003,25.9,21
690925,"Beeter, Clayton",64,18,16.7,5.6,0.4,0.489,-0.089,57.1,21
642048,"Saucedo, Tayler",130,33,27.3,27.3,0.253,0.284,-0.031,13.3,21
668933,"Ashcraft, Graham",163,42,14.3,21.4,0.382,0.312,0.07,38.5,21
672442,"Cruz, Yovanny",123,33,21.2,15.2,0.33,0.346,-0.016,23.8,21
815081,"Manfredi, Mark",196,52,19.2,7.7,0.331,0.288,0.043,39.5,21
687396,"Headrick, Brent",159,39,30.8,10.3,0.256,0.258,-0.002,39.1,21
672782,"Gómez, Yoendrys",178,42,28.6,14.3,0.335,0.377,-0.042,29.2,21
689296,"Nunez, Anthony",163,42,33.3,7.1,0.123,0.247,-0.124,44.0,21
801725,"De León, Luis",157,43,14.0,4.7,0.221,0.231,-0.01,34.3,21
669020,"Rolison, Ryan",178,44,15.9,4.5,0.301,0.231,0.07,27.3,21
657514,"Bernardino, Brennan",130,37,21.6,13.5,0.5,0.308,0.192,20.8,21
642528,"Loáisiga, Jonathan",149,43,16.3,4.7,0.271,0.27,0.001,26.5,21
676428,"Hurter, Brant",174,51,15.7,7.8,0.249,0.293,-0.044,28.2,21
543238,"Gose, Anthony",164,44,13.6,6.8,0.289,0.332,-0.043,28.6,21
673380,"Núñez, Dedniel",86,29,24.1,0.0,0.162,0.31,-0.148,36.4,21
670990,"Ramírez, Yohan",163,39,35.9,2.6,0.084,0.197,-0.113,34.8,21
663767,"Shugart, Chase",84,24,12.5,4.2,0.081,0.208,-0.127,20.0,21
622608,"Senzatela, Antonio",168,41,9.8,4.9,0.429,0.409,0.02,45.7,21
673513,"Matsui, Yuki",195,46,17.4,10.9,0.335,0.266,0.069,39.4,21
676604,"Zuber, Tyler",194,49,18.4,10.2,0.451,0.365,0.086,45.7,21
683618,"Henriquez, Edgardo",119,31,32.3,9.7,0.393,0.269,0.124,44.4,21
573204,"Thielbar, Caleb",123,31,25.8,3.2,0.379,0.427,-0.048,30.0,21
641329,"Baker, Bryan",115,29,10.3,13.8,0.257,0.314,-0.057,27.3,21
694477,"Patrick, Chad",153,41,29.3,26.8,0.246,0.288,-0.042,22.2,21
