Season,﻿"last_name, first_name","player_id","year","pa","ab","hit","double","triple","home_run","walk","strikeout","batting_avg","on_base_percent","slg_percent","woba","woba_contact","xba","xslg","xwoba","xwoba_contact","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","pitches","batted_ball_events"
2026,"Bogaerts, Xander",593428,2026,229,205,49,3,0,8,22,41,".239",".310",".371",".306",,".257",".406",".324",,"87.5","8",29.5,6.7,35.5,,
2026,"Okamoto, Kazuma",672960,2026,242,213,47,7,0,13,25,77,".221",".310",".437",".330",,".220",".447",".332",,"92.7","17.8",32.1,15.3,53.3,,
2026,"Walker, Jordan",691023,2026,247,223,63,11,0,15,21,65,".283",".348",".534",".383",,".276",".510",".369",,"94.2","14.2",33.3,14.5,52.2,,
2026,"Alvarez, Yordan",670541,2026,267,220,67,12,0,21,40,48,".305",".419",".645",".446",,".340",".744",".492",,"94.6","19.1",45.4,19.8,53.4,,
2026,"Montgomery, Colson",695657,2026,250,219,50,11,0,15,22,74,".228",".324",".484",".351",,".215",".446",".328",,"89.7","20.3",35.2,13.8,44.1,,
2026,"Kurtz, Nick",701762,2026,268,211,61,12,1,11,55,78,".289",".440",".512",".415",,".260",".510",".398",,"94.4","12",39.1,18.8,58.6,,
2026,"Semien, Marcus",543760,2026,239,218,49,8,0,6,16,48,".225",".277",".344",".277",,".260",".427",".321",,"86.2","18.1",35.1,8.7,35.1,,
2026,"Ramírez, José",608070,2026,272,229,54,17,0,8,39,35,".236",".346",".415",".333",,".288",".467",".370",,"90.6","20",37.1,7.1,44.4,,
2026,"Schmitt, Casey",669477,2026,220,206,58,12,1,12,7,45,".282",".318",".524",".364",,".275",".514",".353",,"89.6","22",36.2,14.8,44.2,,
2026,"Castro, Willi",650489,2026,192,173,45,9,0,3,16,55,".260",".328",".364",".313",,".217",".349",".285",,"89.3","16.9",30.3,5.9,46.2,,
2026,"Martínez, Angel",682657,2026,205,190,46,9,1,9,6,44,".242",".279",".442",".314",,".251",".404",".301",,"87.8","14.6",35.8,8,35.3,,
2026,"Soderstrom, Tyler",691016,2026,241,212,48,17,2,7,27,44,".226",".315",".425",".324",,".249",".425",".332",,"89.8","14.1",29.6,11.3,43.2,,
2026,"Johnston, Troy",687859,2026,212,193,61,16,0,2,16,43,".316",".374",".430",".359",,".285",".396",".329",,"89","13",44.4,2.6,37.7,,
2026,"Bellinger, Cody",641355,2026,256,215,59,13,3,8,38,33,".274",".379",".474",".375",,".289",".458",".375",,"89.5","19.8",40.5,7.7,38.4,,
2026,"Turang, Brice",668930,2026,249,200,55,12,2,7,45,58,".275",".405",".460",".383",,".272",".466",".382",,"91.6","8.2",39,8.3,48.6,,
2026,"Alonso, Pete",624413,2026,262,232,56,12,0,12,27,60,".241",".321",".448",".337",,".266",".512",".366",,"95.2","14.7",33.3,12.6,55.7,,
2026,"Horwitz, Spencer",687462,2026,213,177,50,8,1,7,30,26,".282",".385",".458",".373",,".236",".386",".338",,"86.3","16",29.7,7.1,34.2,,
2026,"McLain, Matt",680574,2026,228,199,39,10,0,5,26,54,".196",".295",".322",".284",,".223",".364",".307",,"87.7","20.5",34.9,6.9,35.6,,
2026,"Abreu, Wilyer",677800,2026,251,225,63,12,1,6,23,48,".280",".344",".422",".339",,".273",".468",".349",,"89.4","17.4",33.3,11.2,42.2,,
2026,"Keaschall, Luke",807712,2026,232,205,51,10,1,1,20,35,".249",".323",".322",".293",,".225",".324",".281",,"84.5","16.9",34.1,2.9,28.3,,
2026,"Dubón, Mauricio",643289,2026,226,209,52,12,2,3,15,36,".249",".305",".368",".302",,".255",".372",".302",,"86.9","16.5",37.6,4.7,28.3,,
2026,"Nuñez, Nasim",683083,2026,200,171,33,2,1,0,22,43,".193",".287",".216",".242",,".219",".266",".272",,"84.7","8.9",31.3,0,19.4,,
2026,"Chisholm Jr., Jazz",665862,2026,233,209,50,10,1,6,22,65,".239",".313",".383",".312",,".211",".343",".283",,"89","15.2",29,6.3,36.6,,
2026,"Carroll, Corbin",682998,2026,245,211,61,14,8,8,30,54,".289",".380",".545",".398",,".265",".480",".364",,"91.5","12.6",31.4,12.6,50.3,,
2026,"Acuña Jr., Ronald",660670,2026,212,173,43,9,1,7,34,46,".249",".377",".434",".360",,".262",".523",".397",,"90.3","16.7",33.3,14.7,45.7,,
2026,"Swanson, Dansby",621020,2026,228,193,35,5,1,7,30,53,".181",".291",".326",".282",,".200",".359",".300",,"89.9","15.6",27.1,7.7,42.4,,
2026,"Arozarena, Randy",668227,2026,264,229,65,16,1,6,23,59,".284",".367",".441",".359",,".262",".413",".342",,"91.2","7.8",37.6,7.5,41.6,,
2026,"Collins, Isaac",686555,2026,193,162,35,7,0,3,25,53,".216",".332",".315",".301",,".217",".305",".300",,"88.5","19.1",35.1,8.1,40.5,,
2026,"Abrams, CJ",682928,2026,261,222,65,13,2,12,27,51,".293",".387",".532",".398",,".272",".473",".369",,"89.8","16.2",33.9,11,40.8,,
2026,"Nimmo, Brandon",607043,2026,259,229,58,10,2,7,22,56,".253",".332",".406",".328",,".287",".517",".381",,"91.9","10.5",34.9,12.6,51.4,,
2026,"Smith, Cam",701358,2026,230,199,43,8,0,6,24,61,".216",".310",".347",".299",,".249",".460",".348",,"88.5","10.4",33.6,13.7,43.6,,
2026,"DeLauter, Chase",800050,2026,237,209,55,11,1,7,26,26,".263",".342",".426",".341",,".283",".419",".350",,"89.5","13.6",36.2,5.5,38.6,,
2026,"Wood, James",695578,2026,290,236,63,15,0,16,50,84,".267",".403",".534",".404",,".278",".623",".432",,"96.1","10.6",42.8,25,58.6,,
2026,"Adames, Willy",642715,2026,256,241,59,17,1,9,13,70,".245",".285",".436",".315",,".230",".408",".297",,"89","21.7",37.2,9.3,42.4,,
2026,"Chapman, Matt",656305,2026,252,225,52,15,1,2,25,56,".231",".313",".333",".294",,".207",".298",".269",,"87.4","11.3",21.9,5.4,33.1,,
2026,"Pages, Andy",681624,2026,251,229,67,14,1,13,16,47,".293",".339",".533",".375",,".283",".486",".353",,"90","15.6",36.6,10.2,46.8,,
2026,"Riley, Austin",663586,2026,249,223,46,8,1,8,19,73,".206",".281",".359",".287",,".213",".394",".301",,"91.1","19.1",30.3,9.9,45.4,,
2026,"Bauers, Jake",641343,2026,205,182,50,10,0,10,21,47,".275",".356",".495",".369",,".263",".482",".355",,"92","8.2",28.9,12.7,53.3,,
2026,"Norby, Connor",681393,2026,201,173,36,10,0,4,20,57,".208",".313",".335",".298",,".191",".344",".291",,"87","19.5",31.6,8.5,35.9,,
2026,"Winn, Masyn",691026,2026,224,197,47,8,2,2,18,48,".239",".313",".330",".291",,".251",".322",".296",,"86.8","11.7",31.4,3.3,31.4,,
2026,"Tucker, Kyle",663656,2026,248,213,50,15,2,4,32,46,".235",".335",".380",".322",,".246",".368",".323",,"89","16.9",35.5,5.3,39.6,,
2026,"Torkelson, Spencer",679529,2026,236,203,44,14,0,8,28,76,".217",".322",".404",".325",,".214",".410",".324",,"90.7","19.1",47.7,14.2,45.3,,
2026,"Bell, Josh",605137,2026,237,215,49,11,0,5,18,55,".228",".291",".349",".287",,".231",".400",".304",,"89.9","14.3",34.6,9.9,42.6,,
2026,"Busch, Michael",683737,2026,265,217,53,11,1,6,40,57,".244",".370",".387",".343",,".241",".421",".351",,"88.7","15.5",31.3,11.7,41.7,,
2026,"Bregman, Alex",608324,2026,274,243,62,8,1,5,26,47,".255",".336",".358",".313",,".259",".392",".322",,"88.5","14.3",33,5.6,41.1,,
2026,"Reynolds, Bryan",668804,2026,263,213,58,12,2,6,44,56,".272",".403",".432",".374",,".260",".437",".371",,"91.1","5.2",33.3,8.8,44.7,,
2026,"Baty, Brett",683146,2026,202,180,42,8,1,3,18,57,".233",".303",".339",".290",,".235",".377",".301",,"89.2","10.1",35.2,8,36.8,,
2026,"Marsh, Brandon",669016,2026,207,193,64,10,2,5,10,46,".332",".362",".482",".367",,".298",".451",".335",,"89.9","12.4",44.7,6.7,46,,
2026,"Meidroth, Chase",805367,2026,251,220,60,12,0,5,25,56,".273",".344",".395",".331",,".235",".343",".297",,"87.9","7.9",32.5,6,37.3,,
2026,"Happ, Ian",664023,2026,256,216,49,10,1,13,37,82,".227",".348",".463",".355",,".207",".455",".341",,"90.3","15.8",34.3,15.7,45.5,,
2026,"Vargas, Miguel",678246,2026,262,216,52,10,1,15,38,45,".241",".364",".505",".379",,".259",".536",".395",,"90.5","20.3",39.9,15,47.4,,
2026,"Sheets, Gavin",657757,2026,189,167,41,10,0,10,20,42,".246",".333",".485",".359",,".245",".437",".338",,"89.6","16.3",36.8,9.6,44.8,,
2026,"Gorman, Nolan",669357,2026,213,187,39,4,0,7,23,67,".209",".291",".342",".282",,".208",".371",".289",,"89.2","22",36.6,9.8,43.9,,
