"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Díaz, Edwin",621242,2024,216,38.9,9.3,".269",".249",32.1,7.3,30.3,"74.696999818","92.653119817",38.1,48.9
"Chapman, Aroldis",547973,2023,249,41.4,14.5,".258",".260",34.9,9.2,33,"74.310414259","93.325749907",42.2,44.9
"Hader, Josh",623352,2025,206,36.9,7.8,".249",".221",34.2,8.1,34.2,"77.681164074","93.2392575",40.5,55.1
"Williams, Devin",642207,2023,231,37.7,12.1,".214",".255",35.7,7,29.6,"74.738557895","92.523990965",41.8,46.9
"Fisher, Braydon",680755,2025,202,30.7,9.4,".248",".285",29.7,7.6,36.4,"77.140296441","93.774442137",29.9,43.6
"Hoffman, Jeff",656546,2023,208,33.2,9.1,".226",".250",24.6,2.5,30.5,"78.079868966","93.127529652",34.6,51.2
"Ferguson, Tyler",621053,2024,207,30,11.6,".262",".301",31.9,8.4,38.7,"76.590678136","94.017449661",26.8,47.9
"Yates, Kirby",489446,2024,237,35.9,11.8,".186",".215",16.5,4.1,33.1,"77.038917869","93.213497355",33.6,49.3
"Miller, Mason",695243,2024,249,41.8,8.4,".218",".210",28.5,5.7,32.5,"74.737690484","92.801441301",40.1,52.3
"Adam, Jason",592094,2023,222,31.1,9,".283",".320",30.6,12.1,39.5,"74.798043226","93.949121626",34.4,45.9
"Sousa, Bennett",656986,2025,199,29.6,7.5,".261",".266",32.8,8.1,36.8,"77.989110968","94.230850081",36.8,53
"Chapman, Aroldis",547973,2024,264,37.1,14.4,".289",".272",31,7.2,41.3,"80.398542903","94.663313548",32.3,44.5
"Muñoz, Andrés",662253,2024,232,33.2,11.2,".233",".269",31,8.7,33.3,"74.798663968","92.94803352",39.8,45.4
"Ohtani, Shohei",660271,2026,213,28.6,8,".212",".247",25.2,3.1,38.9,"76.599421692","93.681609077",31.8,47.1
"Chafin, Andrew",605177,2023,224,28.1,12.5,".324",".321",38.6,9.8,32.6,"74.918832923","93.364925462",31.8,43
"Kittredge, Andrew",552640,2025,208,30.8,5.3,".266",".261",33.8,6.8,44.4,"79.979613939","95.016293969",29.8,53.3
"Fluharty, Mason",689254,2025,215,26,11.2,".271",".284",30.1,7.5,33.1,"74.875064242","93.20536855",31.9,46.3
"Bernardino, Brennan",657514,2023,216,26.9,8.3,".313",".311",35.1,6.7,32.8,"77.912866119","94.22936218",24.7,40.7
"Estrada, Jeremiah",669093,2024,252,37.3,9.1,".239",".253",35.8,5.2,37.3,"79.316654925","93.81656194",36,53.7
"Jansen, Kenley",445276,2024,218,28.4,9.2,".253",".286",36.3,11.1,37,"81.42870806","94.007212015",27,49.4
"Moreta, Dauri",664294,2023,239,31.8,10,".267",".269",36,8.1,33.1,"75.08028194","93.171127836",33.6,44.5
"Palencia, Daniel",694037,2025,215,28.4,7.4,".284",".282",38.2,4.4,48.5,"80.17049","94.70085791",27.5,51
"Leclerc, José",600917,2023,233,28.8,12,".261",".277",29.4,8.1,32.4,"74.117229706","92.838483824",35.6,48
"Cosgrove, Tom",676680,2023,205,21.5,9.3,".238",".255",24.8,3.7,25.5,"71.686643731","92.164938872",24.9,46.1
"Sims, Lucas",608371,2023,258,27.9,15.1,".287",".302",32.1,8.8,32.1,"77.930104478","92.659713284",33.1,45.7
"Boyle, Joe",671212,2025,226,25.7,12.4,".312",".312",29.2,10.2,46,"80.542818261","95.211971825",29,43.9
"Silseth, Chase",681217,2023,221,25.3,11.8,".313",".319",35,10.2,42.3,"77.224657826","94.364685766",27.9,44
"Maton, Phil",664208,2025,249,32.5,9.6,".266",".264",38.7,3.6,30.7,"72.288009706","92.742270667",36.2,46.9
"Coulombe, Danny",543056,2023,210,27.6,5.7,".269",".270",26.8,5.8,30.4,"73.855585735","92.774530741",29.8,46.5
"Brazobán, Huascar",623211,2024,217,23.5,11.5,".269",".300",33.3,4.3,24.6,"69.777538551","91.723285328",30,48.5
"Brown, Ben",676962,2024,222,28.8,8.6,".268",".321",34.1,10.9,51.4,"81.645372464","95.668522336",31.4,46.5
"Bender, Anthony",669622,2025,204,20.6,10.3,".245",".294",23.7,7.2,44.6,"78.707356957","94.508008759",20.6,41.5
"Nardi, Andrew",677053,2023,237,30.8,8.9,".289",".257",30.2,6.5,27.3,"72.239223971","92.483975074",28.7,50.6
"Turnbull, Spencer",605513,2024,222,26.1,9,".272",".314",33.1,7.2,42.4,"76.427432143","93.732989209",25.4,42.6
"Misiorowski, Jacob",694819,2026,273,39.6,7,".208",".236",37.9,2.9,33.6,"77.053188551","92.960743043",38.7,48.9
"Stanek, Ryne",592773,2023,213,23.9,9.9,".300",".310",32.9,7.1,44.3,"80.460036714","94.168075429",30.7,52.4
"Vodnik, Victor",680767,2025,215,22.8,12.1,".308",".317",31.4,8.6,48.6,"79.951584143","95.651511583",26.5,44
"Vesia, Alex",681911,2024,263,33.1,12.5,".246",".260",29.3,12.1,35,"76.246164853","93.468041029",31.3,47.5
"Gilbert, Tyler",656457,2025,215,22.8,11.2,".291",".312",35,10.1,40.7,"80.02792087","94.180523139",26.2,46.8
"Diekman, Jake",518617,2023,243,26.3,15.6,".271",".286",29.3,5.1,27.1,"72.78032913","92.239348613",26.4,41.1
