team,pa,xwoba,woba,hard_hit,barrel_pct,avg_ev,bb_pct,k_pct,off_score,wrc_plus
LAD,4623,0.338,0.338,0.0,0.0,0.0,9.8,20.42,0.3403,114
CHC,4792,0.336,0.336,0.0,0.0,0.0,10.83,21.72,0.3402,109
WSH,4722,0.337,0.337,0.0,0.0,0.0,9.09,21.47,0.3381,113
MIL,4682,0.325,0.325,0.0,0.0,0.0,10.79,21.55,0.3291,105
PIT,4751,0.327,0.327,0.0,0.0,0.0,9.26,24.21,0.3284,106
TBR,4535,0.326,0.326,0.0,0.0,0.0,8.67,18.83,0.3263,106
COL,4597,0.326,0.326,0.0,0.0,0.0,8.09,22.6,0.3253,96
MIA,4548,0.323,0.323,0.0,0.0,0.0,8.99,21.55,0.3239,103
HOU,4626,0.323,0.323,0.0,0.0,0.0,8.88,21.34,0.3237,102
DET,4575,0.32,0.32,0.0,0.0,0.0,9.38,22.62,0.3216,101
NYY,4480,0.319,0.319,0.0,0.0,0.0,9.82,24.53,0.3214,96
ATL,4553,0.322,0.322,0.0,0.0,0.0,7.88,21.39,0.3209,103
BAL,4569,0.317,0.317,0.0,0.0,0.0,10.24,24.34,0.3201,99
CWS,4524,0.319,0.319,0.0,0.0,0.0,8.93,23.96,0.3198,101
MIN,4623,0.319,0.319,0.0,0.0,0.0,8.65,21.33,0.3193,100
BOS,4527,0.318,0.318,0.0,0.0,0.0,8.33,21.67,0.3177,95
ATH,4600,0.316,0.316,0.0,0.0,0.0,8.61,22.78,0.3162,99
TEX,4517,0.315,0.315,0.0,0.0,0.0,8.59,22.82,0.3152,97
ARI,4613,0.314,0.314,0.0,0.0,0.0,8.89,19.16,0.3147,97
SDP,4533,0.311,0.311,0.0,0.0,0.0,9.13,21.77,0.3121,98
CIN,4465,0.31,0.31,0.0,0.0,0.0,9.59,25.44,0.312,92
PHI,4568,0.311,0.311,0.0,0.0,0.0,8.45,22.92,0.3109,95
KCR,4567,0.311,0.311,0.0,0.0,0.0,8.23,21.09,0.3105,95
SFG,4528,0.312,0.312,0.0,0.0,0.0,7.05,21.05,0.3094,99
STL,4574,0.309,0.309,0.0,0.0,0.0,8.59,20.4,0.3092,94
CLE,4561,0.305,0.305,0.0,0.0,0.0,9.8,21.93,0.3073,91
NYM,4591,0.307,0.307,0.0,0.0,0.0,8.54,22.59,0.3071,93
LAA,4535,0.305,0.305,0.0,0.0,0.0,8.47,25.23,0.3049,91
SEA,4498,0.304,0.304,0.0,0.0,0.0,8.83,22.9,0.3046,91
TOR,4544,0.301,0.301,0.0,0.0,0.0,7.35,19.56,0.2989,88
