team,pa_vs_lhp,xwoba_vs_lhp,bb_pct_vs_lhp,hard_hit_vs_lhp,off_score_vs_lhp,pa_vs_rhp,xwoba_vs_rhp,bb_pct_vs_rhp,hard_hit_vs_rhp,off_score_vs_rhp
ARI,1816,0.3245,9.36,37.6,0.3232,4489,0.3071,9.62,36.66,0.3135
ATH,2131,0.296,8.12,39.12,0.3066,4148,0.3187,10.44,38.84,0.3224
ATL,2108,0.3123,8.11,39.29,0.3156,4042,0.3211,8.39,40.55,0.3217
BAL,1936,0.3213,9.66,42.45,0.3248,4425,0.3248,11.3,43.24,0.3297
BOS,1754,0.328,10.09,37.59,0.3262,4535,0.3052,9.66,36.08,0.3121
CHC,1752,0.3218,11.76,38.1,0.3256,4909,0.3213,11.51,39.22,0.3257
CIN,1498,0.3212,10.81,38.09,0.3239,4774,0.3179,10.37,38.81,0.3218
CLE,1879,0.2977,11.12,34.99,0.3095,4379,0.3025,9.55,34.81,0.3097
COL,2051,0.2873,8.04,33.86,0.2986,4170,0.3209,9.88,37.38,0.3219
CWS,1825,0.3192,10.58,40.08,0.3236,4381,0.315,10.29,39.6,0.3206
DET,1812,0.3161,11.04,40.41,0.3228,4360,0.3171,9.54,38.21,0.3198
HOU,1469,0.3112,9.46,34.62,0.3143,4852,0.3152,9.46,38.23,0.3186
KCR,1950,0.3033,8.1,39.9,0.311,4225,0.3192,9.56,42.51,0.3236
LAA,1731,0.3033,9.59,35.77,0.3108,4446,0.3052,9.92,37.95,0.3137
LAD,1938,0.337,9.29,39.17,0.331,4464,0.3424,10.66,40.89,0.337
MIA,1710,0.2957,10.76,33.93,0.3073,4445,0.3135,10.37,38.63,0.3193
MIL,1943,0.3087,10.71,36.75,0.316,4526,0.3309,10.96,42.22,0.3319
MIN,1906,0.3133,11.07,37.04,0.3193,4304,0.3138,9.13,38.39,0.3175
NYM,1733,0.3187,9.23,38.38,0.3203,4338,0.3184,9.01,42.04,0.322
NYY,1992,0.3157,9.44,38.18,0.3189,4185,0.3232,10.44,43.44,0.3276
PHI,1867,0.3168,10.23,36.94,0.3199,4433,0.3212,8.62,41.7,0.3227
PIT,2098,0.2951,9.1,37.83,0.3068,4421,0.3253,10.9,40.07,0.3275
SDP,1602,0.3087,8.74,38.83,0.3144,4548,0.3216,10.49,41.01,0.3254
SEA,1969,0.3054,10.41,35.47,0.313,4177,0.3207,10.13,39.39,0.3234
SFG,1821,0.2995,7.36,37.24,0.3062,4424,0.3212,8.14,37.9,0.3198
STL,1939,0.3351,10.62,40.24,0.3325,4308,0.3147,9.35,41.14,0.3199
TBR,1903,0.2852,8.15,31.94,0.2964,4289,0.3175,9.65,35.42,0.3185
TEX,1772,0.3,9.65,37.83,0.3103,4364,0.3098,9.35,40.58,0.3169
TOR,1794,0.2891,9.31,31.82,0.3002,4406,0.2975,7.35,34.47,0.3035
WSH,1843,0.3217,10.31,37.46,0.323,4588,0.3287,9.83,39.22,0.3272
