game_pk,game_date,away_team,home_team,hp_umpire_id,hp_umpire_name,away_runs,home_runs,away_bb,home_bb,away_k,home_k
822974,2026-06-01,,,483564,Dan Bellino,10,9,3,8,8,8
822730,2026-06-01,,,427554,Jim Wolf,7,3,4,1,10,7
824510,2026-06-01,,,691042,Willie Traynor,9,2,5,6,7,12
823702,2026-06-01,,,521251,Ben May,6,9,1,4,11,6
823781,2026-06-01,,,594151,Ramon De Jesus,2,16,5,11,10,6
823050,2026-06-01,,,482608,Scott Barry,2,1,2,1,5,14
824027,2026-06-01,,,665281,Brian Walsh,9,8,10,4,11,5
825078,2026-06-01,,,427128,Rob Drake,1,4,1,0,5,4
823131,2026-06-01,,,605672,Jeremie Rehak,2,3,0,1,12,9
822971,2026-06-02,,,483919,Mark Ripperger,8,0,4,2,6,10
823460,2026-06-02,,,554242,Edwin Moscoso,2,3,1,4,12,5
824754,2026-06-02,,,503586,Tripp Gibson,4,2,2,2,11,9
822728,2026-06-02,,,623945,Alex MacKay,7,3,5,1,6,11
823541,2026-06-02,,,503490,Chris Segal,9,4,2,3,12,11
824511,2026-06-02,,,427164,Andy Fletcher,3,4,8,2,11,11
824918,2026-06-02,,,427533,Mark Wegner,3,4,1,2,9,9
823700,2026-06-02,,,483630,John Tumpane,4,6,3,3,14,4
823782,2026-06-02,,,607884,Paul Clemons,3,8,2,7,14,6
823052,2026-06-02,,,484499,Manny Gonzalez,7,4,3,1,15,10
824675,2026-06-02,,,482666,D.J. Reyburn,2,1,1,2,8,6
824189,2026-06-02,,,665299,Louie Krupa,10,6,8,5,11,9
824026,2026-06-02,,,427344,Bill Miller,8,2,5,2,8,8
825079,2026-06-02,,,521889,Stu Scheurwater,6,5,3,6,10,4
823129,2026-06-02,,,427248,Dan Iassogna,3,8,2,4,11,8
822727,2026-06-03,,,484198,Alan Porter,4,1,8,3,11,9
822973,2026-06-03,,,658292,Derek Thomas,7,2,1,2,4,6
823701,2026-06-03,,,639723,Brennan Miller,8,0,8,1,10,8
823130,2026-06-03,,,644760,Adam Beck,7,1,1,3,10,9
823456,2026-06-03,,,427537,Hunter Wendelstedt,2,3,2,2,11,8
824755,2026-06-03,,,503502,Ryan Blakney,1,8,4,3,7,7
823540,2026-06-03,,,427113,Laz Diaz,5,4,1,1,7,10
824509,2026-06-03,,,484183,Cory Blaser,5,2,3,3,13,11
824917,2026-06-03,,,427129,Bruce Dreckman,3,7,3,3,8,1
823780,2026-06-03,,,511890,Quinn Wolcott,1,0,3,2,9,5
823051,2026-06-03,,,665297,Tom Hanahan,3,5,4,3,8,8
824671,2026-06-03,,,596805,John Libka,5,4,2,2,6,9
824188,2026-06-03,,,427197,Chris Guccione,9,11,6,4,11,12
824024,2026-06-03,,,431232,Chad Fairchild,4,11,3,3,9,8
825077,2026-06-03,,,608093,Junior Valentine,7,0,5,2,6,9
823457,2026-06-04,,,483569,Vic Carapazza,4,6,5,3,10,10
824753,2026-06-04,,,427243,Marvin Hudson,8,2,6,1,8,6
823542,2026-06-04,,,676581,James Jean,1,2,4,2,8,7
823779,2026-06-04,,,664263,Edwin Jimenez,12,9,2,8,5,8
824919,2026-06-04,,,547380,Carlos Torres,7,2,3,3,9,6
823698,2026-06-04,,,605670,Dan Merzel,8,6,6,2,7,7
824672,2026-06-04,,,676580,Steven Jaschinski,6,7,3,1,8,10
824185,2026-06-04,,,482663,David Rackley,5,1,3,2,7,7
825076,2026-06-04,,,490319,Jordan Baker,2,3,2,1,5,8
824673,2026-06-05,,,605673,Alex Tosi,18,3,2,6,9,7
824271,2026-06-05,,,623938,Erich Bacchus,3,7,3,0,9,10
823455,2026-06-05,,,577468,Roberto Ortiz,6,8,2,4,6,7
823538,2026-06-05,,,503493,Sean Barber,5,3,1,4,8,5
822810,2026-06-05,,,544728,Nic Lentz,13,3,4,0,9,5
823860,2026-06-05,,,658082,Jacob Metz,6,0,5,1,6,14
824914,2026-06-05,,,594151,Ramon De Jesus,3,6,3,5,7,10
824186,2026-06-05,,,521051,Nick Mahrley,1,5,5,4,10,13
823049,2026-06-05,,,482620,Chris Conroy,3,10,4,9,7,10
822892,2026-06-05,,,598411,Nestor Ceja,2,3,2,1,11,6
823699,2026-06-05,,,483564,Dan Bellino,3,5,4,0,4,6
824350,2026-06-05,,,427128,Rob Drake,9,7,6,6,11,8
825073,2026-06-05,,,427292,Ron Kulpa,14,1,7,0,7,7
823293,2026-06-05,,,489985,Chad Whitson,5,0,0,2,8,5
823943,2026-06-05,,,668921,Jen Pawol,0,1,2,3,14,9
824269,2026-06-06,,,503490,Chris Segal,4,0,1,5,7,11
823697,2026-06-06,,,483919,Mark Ripperger,3,2,3,4,6,7
823048,2026-06-06,,,521251,Ben May,5,6,4,2,6,7
824669,2026-06-06,,,691042,Willie Traynor,2,3,3,4,11,8
822808,2026-06-06,,,554242,Edwin Moscoso,4,6,2,3,12,6
823454,2026-06-06,,,427554,Jim Wolf,6,3,3,5,10,15
825075,2026-06-06,,,482608,Scott Barry,6,1,5,2,8,5
824184,2026-06-06,,,503586,Tripp Gibson,2,13,5,5,13,9
824915,2026-06-06,,,607884,Paul Clemons,3,6,4,1,10,7
823859,2026-06-06,,,427533,Mark Wegner,3,4,5,3,11,11
822891,2026-06-06,,,665299,Louie Krupa,6,0,4,2,4,4
824351,2026-06-06,,,521889,Stu Scheurwater,7,1,6,4,8,11
823942,2026-06-06,,,605672,Jeremie Rehak,2,9,0,4,5,9
823292,2026-06-06,,,665281,Brian Walsh,2,3,3,3,10,6
824916,2026-06-07,,,511890,Quinn Wolcott,2,3,4,4,8,10
823453,2026-06-07,,,623945,Alex MacKay,5,9,5,6,11,9
823537,2026-06-07,,,482666,D.J. Reyburn,1,6,1,1,6,10
